movie_id,primary_title,original_title,start_year,runtime_minutes,genre1,genre2,genre3
tt0955308,Robin Hood,Robin Hood,2010,140.0,Action,Adventure,Drama
tt2363363,Robin Hood,Robin Hood,2013,92.0,Action,Adventure,Drama
tt4532826,Robin Hood,Robin Hood,2018,116.0,Action,Adventure,Drama
tt6858500,Robin Hood,Robin Hood,2018,,Action,Adventure,Drama
tt8558276,Robin Hood,Robin Hood,2017,60.0,Action,Adventure,Drama
tt0974015,Justice League,Justice League,2017,120.0,Action,Adventure,Fantasy
tt0975645,Hitchcock,Hitchcock,2012,98.0,Biography,Comedy,Drama
tt0983946,Fantasy Island,Fantasy Island,2020,,Adventure,Comedy,Fantasy
tt0993846,The Wolf of Wall Street,The Wolf of Wall Street,2013,180.0,Biography,Crime,Drama
tt0995845,The Courier,The Courier,2012,95.0,Action,Crime,Drama
tt10344122,The Courier,The Courier,2020,,Action,Crime,Drama
tt9207616,The Courier,The Courier,2020,,Action,Crime,Drama
tt10003008,The Rental,The Rental,2020,,Horror,,
tt10011336,Lucky Grandma,Lucky Grandma,2019,,Drama,,
tt10011448,Linda Ronstadt: The Sound of My Voice,Linda Ronstadt: The Sound of My Voice,2019,,Documentary,,
tt10012842,"As Above, So Below","As Above, So Below",2012,,Animation,Documentary,Sci-Fi
tt2870612,"As Above, So Below","As Above, So Below",2014,93.0,Animation,Documentary,Sci-Fi
tt9064942,"As Above, So Below","As Above, So Below",2017,10.0,Animation,Documentary,Sci-Fi
tt10013288,The Promise,The Promise,2017,,Action,,
tt4192918,The Promise,The Promise,2017,,Action,,
tt4532628,The Promise,Ghoul,2014,75.0,Action,,
tt4776998,The Promise,The Promise,2016,133.0,Action,,
tt5609150,The Promise,The Promise,2016,74.0,Action,,
tt6072400,The Promise,The Promise,2016,90.0,Action,,
tt6745888,The Promise,The Promise,2018,,Action,,
tt6825024,The Promise,The Promise,2019,62.0,Action,,
tt7232438,The Promise,Puen Tee Raluek,2017,114.0,Action,,
tt9889072,The Promise,The Promise,2017,,Action,,
tt10013634,Cinderella,Cinderella,2018,150.0,Musical,,
tt10155932,Cinderella,Cinderella,2021,,Musical,,
tt1661199,Cinderella,Cinderella,2015,105.0,Musical,,
tt3645784,Cinderella,Cinderella,2013,120.0,Musical,,
tt5089556,Cinderella,Cinderella,2015,113.0,Musical,,
tt5684194,Cinderella,Cinderella,2016,130.0,Musical,,
tt8907882,Cinderella,Cinderella,2018,,Musical,,
tt1002563,The Young Messiah,The Young Messiah,2016,111.0,Drama,Fantasy,
tt10039344,Countdown,Countdown,2019,,Thriller,,
tt1814665,Countdown,Ka-woon-teu-da-woon,2011,119.0,Thriller,,
tt2603308,Countdown,Countdown,2012,90.0,Thriller,,
tt3550136,Countdown,Odbrojavanje,2014,73.0,Thriller,,
tt4872162,Countdown,Countdown,2016,90.0,Thriller,,
tt6794430,Countdown,Countdown,2017,,Thriller,,
tt10065960,Snatched,Snatched,2016,11.0,Drama,Horror,Mystery
tt1245534,Snatched,Snatched,2011,81.0,Drama,Horror,Mystery
tt2334871,Snatched,Snatched,2017,90.0,Drama,Horror,Mystery
