id,release_date,primary_title,production_budget,domestic_gross,worldwide_gross,movie_id,original_title,runtime_minutes,genre1,genre2,genre3
7,2015,Hot Tub Time Machine 2,14000000,12314651,12826644,tt2637294,Hot Tub Time Machine 2,93.0,Comedy,Mystery,Sci-Fi
12,2017,Before I Fall,5000000,12241072,18945682,tt1691916,Before I Fall,98.0,Drama,Fantasy,Mystery
78,2015,The 33,25000000,12227722,28400715,tt2006295,The 33,127.0,Biography,Drama,History
74,2013,The Last Stand,30000000,12050299,48330757,tt8774508,The Last Stand,93.0,Drama,,
89,2018,Upgrade,3000000,11977130,16553285,tt6739824,Upgrade,,Action,Sci-Fi,Thriller
40,2017,Roman J Israel Esq,22000000,11962712,12967012,tt6000478,"Roman J. Israel, Esq.",122.0,Crime,Drama,Thriller
15,2016,Fifty Shades of Black,5000000,11686940,22113075,tt4667094,Fifty Shades of Black,92.0,Comedy,,
46,2012,The Words,6000000,11494838,16369708,tt1840417,The Words,102.0,Drama,Mystery,Romance
4,2017,Unforgettable,12000000,11368012,16221211,tt5615904,Soonjung,113.0,Drama,Romance,
41,2013,Out of the Furnace,22000000,11330849,15434375,tt1206543,Out of the Furnace,116.0,Crime,Drama,Thriller
20,2018,Hell Fest,5500000,11107431,18119231,tt1999890,Hell Fest,89.0,Horror,,
74,2016,Pride and Prejudice and Zombies,28000000,10907291,16638300,tt1374989,Pride and Prejudice and Zombies,108.0,Action,Comedy,Horror
78,2013,Dead Man Down,30000000,10895295,19599974,tt2101341,Dead Man Down,118.0,Action,Crime,Drama
18,2018,Welcome to Marwen,45000000,10763520,12874922,tt3289724,Welcome to Marwen,116.0,Biography,Comedy,Drama
98,2016,The Darkness,4000000,10753574,10898293,tt1878841,The Darkness,92.0,Horror,Thriller,
16,2014,The Drop,12600000,10724389,19054534,tt4745746,The Drop,50.0,Crime,Drama,
15,2015,The Gunman,40000000,10664749,18594227,tt5241920,The Gunman,,Action,Crime,Drama
3,2016,Nocturnal Animals,22500000,10663357,32398681,tt4550098,Nocturnal Animals,116.0,Drama,Thriller,
