primary_title,genre1,genre2,genre3
Hot Tub Time Machine 2,Comedy,Mystery,Sci-Fi
Brahms: The Boy II,Horror,Mystery,Thriller
Marry Me,Comedy,Romance,
Greed,Drama,,
Journey 2: The Mysterious Island,Action,Adventure,Comedy
Death on the Nile,Crime,Drama,Mystery
Dog,Comedy,Drama,
A la mala,Comedy,,
The Lodge,Drama,Horror,Thriller
Blacklight,Thriller,,
Goon,Comedy,Drama,Sport
My Boyfriend's Meds,Comedy,,
London Has Fallen,Action,Thriller,
A Wrinkle in Time,Adventure,Family,Fantasy
Do You Believe?,Fantasy,Horror,
Divergent,Action,Adventure,Mystery
I Can Only Imagine,Biography,Drama,Family
The Second Best Exotic Marigold Hotel,Comedy,Drama,
Pacific Rim: Uprising,Action,Adventure,Sci-Fi
Tomb Raider,Action,Adventure,Fantasy
God's Not Dead,Drama,,
T2 Trainspotting,Drama,,
Allegiant,Action,Adventure,Mystery
Chappie,Action,Crime,Drama
10 Cloverfield Lane,Drama,Horror,Mystery
It Follows,Horror,Mystery,
Unfinished Business,Romance,,
Danny Collins,Biography,Comedy,Drama
The Gunman,Action,Crime,Drama
Noah,Drama,Thriller,
The Grand Budapest Hotel,Adventure,Comedy,Crime
Badrinath Ki Dulhania,Comedy,Drama,Romance
Zootopia,Adventure,Animation,Comedy
Batman v Superman: Dawn of Justice,Action,Adventure,Fantasy
While We're Young,Comedy,Drama,Mystery
300: Rise of an Empire,Action,Fantasy,War
Mr. Peabody & Sherman,Adventure,Animation,Comedy
Muppets Most Wanted,Adventure,Comedy,Crime
Table 19,Comedy,Drama,Romance
Ready Player One,Action,Adventure,Sci-Fi
Miracles from Heaven,Biography,Drama,Family
Finding Vivian Maier,Biography,Documentary,Mystery
Logan,Action,Drama,Sci-Fi
Cinderella,Musical,,
The Boss Baby,Adventure,Animation,Comedy
Kong: Skull Island,Action,Adventure,Fantasy
Veronica Mars,Crime,Drama,Mystery
Eye in the Sky,Drama,Thriller,War
Home,Drama,,
The Raid 2,Action,Crime,Thriller
Beauty and the Beast,Family,Fantasy,Musical
The Brothers Grimsby,Action,Adventure,Comedy
The Perfect Match,Comedy,Romance,
Midnight Special,Action,Drama,Mystery
Everybody Wants Some!!,Comedy,,
"Hello, My Name Is Doris",Comedy,Drama,Romance
The Other Side of the Door,Drama,,
Kapoor & Sons,Comedy,Drama,Romance
Power Rangers,Action,Adventure,Sci-Fi
The Single Moms Club,Comedy,Drama,
CHIPS,Action,Comedy,Crime
The Zookeeper's Wife,Biography,Drama,History
The Young Messiah,Drama,Fantasy,
Before I Fall,Drama,Fantasy,Mystery
Whiskey Tango Foxtrot,Biography,Comedy,Drama
Get Hard,Comedy,Crime,
Need for Speed,Action,Crime,Thriller
My Big Fat Greek Wedding 2,Comedy,Romance,
The Belko Experiment,Horror,Thriller,
Life,Horror,Sci-Fi,Thriller
The Shack,Drama,Fantasy,
Ghost in the Shell,Action,Drama,Sci-Fi
Bad Words,Comedy,Drama,
Sabotage,Action,Crime,Drama
Red Sparrow,Action,Drama,Thriller
Run All Night,Action,Drama,Thriller
Greta,Drama,,
Dead Man Down,Action,Crime,Drama
The Courier,Action,Crime,Drama
Spring Breakers,Comedy,Crime,Drama
The Last Exorcism Part II,Drama,Horror,Thriller
Captain Marvel,Action,Adventure,Sci-Fi
Chaos Walking,Adventure,Sci-Fi,
The Kid,Drama,,
A Thousand Words,Comedy,Drama,
Us,Comedy,,
Nobody,Drama,,
Wonder Park,Adventure,Animation,Comedy
Thoroughbreds,Comedy,Crime,Drama
The Aftermath,Drama,Romance,War
The Hurricane Heist,Action,Adventure,Crime
God's Not Dead: A Light in Darkness,Drama,,
Unplanned,Biography,Drama,
The Way Back,Adventure,Drama,History
City of Lies,Biography,Crime,Drama
Gringo,Action,Comedy,Crime
7 Days in Entebbe,Action,Drama,History
Long Weekend,Horror,,
Badla,Crime,Drama,Mystery
Boogie,Drama,,
Oz the Great and Powerful,Adventure,Family,Fantasy
Five Feet Apart,Drama,Romance,
Godzilla vs. Kong,Action,Sci-Fi,Thriller
The Hunt,Documentary,,
21 & Over,Comedy,,
The Host,Documentary,,
Jiro Dreams of Sushi,Documentary,,
I Still Believe,,,
Bloodshot,Action,Drama,Fantasy
The Kid with a Bike,Drama,,
Footnote,Comedy,Drama,
A Madea Family Funeral,Comedy,,
Onward,Adventure,Animation,Comedy
"Jeff, Who Lives at Home",Comedy,Drama,
Admission,Comedy,Drama,Romance
Children of the Sea,Adventure,Animation,Fantasy
Hope Gap,Drama,Romance,
Dumbo,Adventure,Family,Fantasy
Silent House,Drama,Horror,Mystery
Beneath Us,Horror,Thriller,
The Raid: Redemption,Action,Thriller,
Extra Ordinary,Comedy,Fantasy,Horror
The Place Beyond the Pines,Crime,Drama,Thriller
Friends with Kids,Comedy,Drama,Romance
Baaghi 3,Action,,
The Incredible Burt Wonderstone,Adventure,Comedy,Fantasy
Casa de mi Padre,Comedy,Western,
Salmon Fishing in the Yemen,Comedy,Drama,Romance
Unsane,Drama,Horror,Mystery
The Croods,Action,Adventure,Animation
Death Wish,Action,Crime,Drama
Renoir,Biography,Drama,History
Wrath of the Titans,Action,Adventure,Fantasy
The Death of Stalin,Comedy,Drama,History
X,Drama,Horror,Thriller
"Love, Simon",Comedy,Drama,Romance
RRR,Action,,
Umma,Drama,,
Olympus Has Fallen,Action,Thriller,
21 Jump Street,Action,Comedy,Crime
Apollo 11,Documentary,History,
Alice,Comedy,,
Jack the Giant Slayer,Adventure,Fantasy,
Captive State,Sci-Fi,Thriller,
Girl Rising,Documentary,Drama,
Stoker,Drama,Thriller,
Sherlock Gnomes,Adventure,Animation,Comedy
Acrimony,Drama,Romance,Thriller
The Lorax,Adventure,Animation,Comedy
Hotel Mumbai,Drama,History,Thriller
After Yang,Drama,,
I Am Here,Documentary,Music,
The Hunger Games,Action,Adventure,Sci-Fi
Gloria Bell,Comedy,Drama,Romance
The Call,Crime,Drama,Horror
"Paul, Apostle of Christ",Adventure,Biography,Drama
G.I. Joe: Retaliation,Action,Adventure,Sci-Fi
Isle of Dogs,Adventure,Animation,Comedy
The Beach Bum,Comedy,,
Temptation: Confessions of a Marriage Counselor,Drama,Thriller,
Mirror Mirror,Adventure,Comedy,Drama
Project X,Comedy,,
Midnight Sun,Drama,Romance,
The Batman,Action,Crime,Drama
The Mustang,Drama,,
John Carter,Action,Adventure,Sci-Fi
Emperor,Drama,History,War
The Sapphires,Biography,Comedy,Drama
The Strangers: Prey at Night,Horror,,
Locke,Drama,,
The White Crow,Biography,Drama,
2 States,Comedy,Drama,Romance
The Fate of the Furious,Action,Crime,Thriller
The Man Who Knew Infinity,Biography,Drama,
Housefull 2,Action,Comedy,Musical
Kalank,Drama,Romance,
Oblivion,Action,Adventure,Sci-Fi
The Best of Enemies,Biography,Drama,History
Meet the Blacks,Comedy,Horror,
Under the Skin,Drama,Horror,Sci-Fi
Miles Ahead,Biography,Drama,Music
Penguins,Documentary,,
Compadres,Action,Comedy,Crime
Furious 7,Action,Crime,Thriller
Fan,Drama,,
Green Room,Horror,Music,Thriller
Criminal,Action,Crime,Drama
Marley,Drama,,
Red Joan,Biography,Drama,Romance
42,Biography,Drama,Sport
Hardcore Henry,Action,Adventure,Sci-Fi
Only Lovers Left Alive,Comedy,Drama,Fantasy
