primary_title,genre1,genre2,genre3
The Danish Girl,Biography,Drama,Romance
Carol,Drama,Romance,
Doctor Strange,Action,Adventure,Fantasy
For the Love of Money,Drama,,
Legend,Biography,Crime,Drama
Interstellar,Adventure,Drama,Sci-Fi
Clifford the Big Red Dog,Animation,Family,Fantasy
Instant Family,Comedy,Drama,
The Man with the Iron Fists,Action,,
Big Hero 6,Action,Adventure,Animation
The Nutcracker and the Four Realms,Adventure,Family,Fantasy
Foxcatcher,Biography,Drama,Sport
Anna Karenina,,,
The Hunger Games: Mockingjay - Part 1,Action,Adventure,Sci-Fi
Moana,Adventure,Animation,Comedy
Fantastic Beasts and Where to Find Them,Adventure,Family,Fantasy
Killing Them Softly,Crime,Thriller,
Red Dawn,Action,Sci-Fi,Thriller
Green Book,Biography,Comedy,Drama
Anita,Documentary,History,
The Grinch,Animation,Comedy,Family
Bohemian Rhapsody,Biography,Drama,Music
Ralph Breaks the Internet,Adventure,Animation,Comedy
Fantastic Beasts: The Crimes of Grindelwald,Adventure,Family,Fantasy
Call Me by Your Name,Drama,Romance,
Spencer,Comedy,Romance,
Creed II,Drama,Sport,
My All-American,Biography,Drama,Sport
Beyond the Lights,Drama,Music,Romance
Sooryavanshi,Action,Thriller,
Murder on the Orient Express,Crime,Drama,Mystery
Dark Waters,Drama,Horror,Thriller
Knives Out,Drama,,
Creed,Horror,,
Loving,Biography,Drama,Romance
21 Bridges,Crime,Drama,Thriller
Journey to the South Pacific,Documentary,,
Thor: Ragnarok,Action,Adventure,Comedy
Justice League,Action,Adventure,Fantasy
Doctor Sleep,Horror,,
Rules Don't Apply,Comedy,Drama,Romance
Philomena,Biography,Comedy,Drama
Last Christmas,Comedy,,
Honey Boy,Drama,,
Coco,,,
Homefront,Drama,,
Black Nativity,Drama,Family,Music
Ford v Ferrari,Action,Biography,Drama
Boy Erased,Biography,Drama,
Better Days,Comedy,Drama,
The Book Thief,Drama,War,
Miss Sloane,Drama,Thriller,
Nebraska,Adventure,Comedy,Drama
The Homesman,Drama,Western,
The Good Liar,Drama,,
Ender's Game,Action,Adventure,Fantasy
The Edge of Seventeen,Comedy,Drama,
Last Vegas,Comedy,Drama,
The Hunger Games: Mockingjay - Part 2,Action,Adventure,Sci-Fi
The Best Man Holiday,Comedy,Drama,
Spectre,Action,Adventure,Thriller
Qué León,Comedy,Romance,
Charlie's Angels,Action,Adventure,Comedy
Dear Zindagi,Drama,Romance,
At Eternity's Gate,Biography,Drama,
Elle,Biography,Documentary,
Shoplifters,Crime,Drama,
Nocturnal Animals,Drama,Thriller,
Mandela: Long Walk to Freedom,Biography,Drama,History
Bad Santa 2,Comedy,Crime,Drama
Frozen II,Adventure,Animation,Comedy
Motherless Brooklyn,Crime,Drama,
The Eagle Huntress,Adventure,Documentary,Sport
About Time,Comedy,Drama,Fantasy
The Peanuts Movie,Adventure,Animation,Comedy
The Good Dinosaur,Adventure,Animation,Comedy
2.0,Action,Sci-Fi,
Burn the Stage: The Movie,Documentary,Music,
Free Birds,Adventure,Animation,Comedy
Midway,Action,Drama,History
Waves,Drama,,
The Hunger Games: Catching Fire,Action,Adventure,Sci-Fi
Queen & Slim,Drama,,
Manchester by the Sea,Drama,,
Chasing Ice,Biography,Documentary,
Delivery Man,Comedy,Drama,
Harriet,Biography,Drama,History
Lion,Comedy,Drama,Romance
Dallas Buyers Club,Biography,Drama,
Frozen,Adventure,Drama,Sport
A Late Quartet,Drama,Music,
Shut In,Drama,Mystery,Thriller
Bleed for This,Biography,Drama,Sport
Almost Christmas,Comedy,Drama,
Playing with Fire,Comedy,,
A Beautiful Day in the Neighborhood,Biography,Drama,
Thor: The Dark World,Action,Adventure,Fantasy
Rosewater,Biography,Drama,
Allied,Action,Drama,Romance
A Royal Affair,Biography,Drama,History
Wonder,Drama,Family,
Grudge Match,Comedy,Drama,Sport
Wild,Documentary,,
Benedetta,Biography,Drama,History
Flee,Drama,,
Youth,Drama,Romance,War
Night at the Museum: Secret of the Tomb,Adventure,Comedy,Family
Just Getting Started,Action,Comedy,
Annie,Comedy,Drama,Family
Little Women,Drama,Family,
"Two Days, One Night",Drama,,
Point Break,Action,Crime,Sport
The Guilt Trip,Comedy,Drama,
Incarnate,Horror,Thriller,
Chi-Raq,Comedy,Crime,Drama
Father Figures,Adventure,Comedy,Drama
A Madea Christmas,Comedy,Drama,Romance
Into the Woods,Fantasy,Horror,
In the Heart of the Sea,Action,Adventure,Biography
Aquaman,Action,Adventure,Fantasy
Top Five,Comedy,Romance,
The Hobbit: An Unexpected Journey,Adventure,Family,Fantasy
20th Century Women,Comedy,Drama,
Dangal,Action,Biography,Drama
Live by Night,Action,Crime,Drama
Inside Llewyn Davis,Drama,Music,
Unbroken,Drama,,
Ode to My Father,Drama,War,
Her,Drama,Romance,Sci-Fi
Uncut Gems,Comedy,Crime,Drama
Bajirao Mastani,Action,Drama,History
47 Ronin,Action,Adventure,Drama
The Gambler,Documentary,,
The Leisure Seeker,Adventure,Comedy,Drama
Selma,Biography,Drama,History
Zero Dark Thirty,Drama,Thriller,
Silence,Biography,Documentary,
Django Unchained,Drama,Western,
1917,Drama,War,
A Monster Calls,Animation,Drama,Fantasy
Just Mercy,Drama,,
Krampus,Comedy,Fantasy,Horror
The Lady in the Van,Biography,Comedy,Drama
Exodus: Gods and Kings,Action,Adventure,Drama
Parental Guidance,Comedy,Family,
Star Wars: Episode VII - The Force Awakens,Action,Adventure,Fantasy
Tiger Zinda Hai,Action,Adventure,Thriller
Concussion,Documentary,,
Anomalisa,Animation,Comedy,Drama
Cats,Adventure,Animation,Comedy
45 Years,Drama,Romance,
Jack Reacher,Action,Crime,Thriller
The Witches,Adventure,Comedy,Family
Walking with Dinosaurs 3D,Adventure,Animation,Family
Dilwale,Action,Comedy,Romance
This Is 40,Comedy,Romance,
August: Osage County,Comedy,Drama,
Assassin's Creed,Action,Adventure,Sci-Fi
Jackie,Comedy,Drama,Romance
Alvin and the Chipmunks: The Road Chip,Adventure,Animation,Comedy
Spies in Disguise,Action,Adventure,Animation
La La Land,Comedy,Drama,Music
The Interview,Documentary,,
Sisters,Action,Drama,
The Greatest Showman,Biography,Drama,Musical
Inherent Vice,Comedy,Crime,Drama
American Hustle,Crime,Drama,
Second Act,Comedy,Drama,Romance
The Pyramid,Horror,,
PK,Comedy,Drama,Fantasy
Hyde Park on Hudson,Biography,Comedy,Drama
Amour,Drama,Romance,
Joy,,,
Promised Land,Documentary,,
Patriots Day,Action,Crime,Drama
A Hidden Life,Biography,Drama,War
Passengers,Drama,Romance,Sci-Fi
Holmes & Watson,Adventure,Comedy,Crime
A Most Violent Year,Crime,Drama,Thriller
Fences,Drama,Family,
Pitch Perfect 3,Comedy,Music,
The Big Short,Biography,Comedy,Drama
Why Him?,Comedy,,
Welcome to Marwen,Biography,Comedy,Drama
Monster Hunter,Action,Fantasy,
Ferdinand,Adventure,Animation,Comedy
The Post,Biography,Drama,History
The Shape of Water,Adventure,Drama,Fantasy
Wonder Woman 1984,Action,Adventure,Fantasy
Dabangg 2,Action,Comedy,
Promising Young Woman,Crime,Drama,Thriller
If Beale Street Could Talk,Drama,Romance,
Portrait of a Lady on Fire,Drama,History,Romance
Mortal Engines,Action,Adventure,Fantasy
Mary Queen of Scots,Biography,Drama,History
Mr. Turner,Biography,Drama,History
They Shall Not Grow Old,Biography,Documentary,History
Half Brothers,Comedy,Crime,Drama
Justin Bieber's Believe,Documentary,Music,
The Hobbit: The Desolation of Smaug,Adventure,Fantasy,
Pinocchio,Animation,Fantasy,Musical
On the Basis of Sex,Biography,Drama,
Collateral Beauty,Drama,Romance,
Anchorman 2: The Legend Continues,Comedy,,
Lone Survivor,Action,Biography,Drama
The Letters,Drama,,
Paterson,Comedy,Drama,Romance
Son of Saul,Drama,War,
The Revenant,Horror,,
Downsizing,Drama,Sci-Fi,
West Side Story,Crime,Drama,Musical
The Hateful Eight,Crime,Drama,Mystery
Saving Mr. Banks,Biography,Comedy,Drama
Phantom Thread,Drama,Romance,
The Disaster Artist,Biography,Comedy,Drama
The Impossible,Drama,History,Thriller
Office Christmas Party,Comedy,,
Big Eyes,Documentary,,
Dhoom 3,Action,Thriller,
The Mule,Crime,Drama,Thriller
Nightmare Alley,Horror,,
Bumblebee,Action,Adventure,Sci-Fi
'83,Biography,Drama,Sport
Mary Poppins Returns,Comedy,Family,Fantasy
The Secret Life of Walter Mitty,Adventure,Comedy,Drama
Spider-Man: Into the Spider-Verse,Action,Adventure,Animation
Out of the Furnace,Crime,Drama,Thriller
Daddy's Home,Comedy,,
Stan & Ollie,Biography,Comedy,Drama
Hidden Figures,Biography,Drama,History
Simmba,Action,Comedy,Crime
American Sniper,Action,Biography,Drama
Jumanji: Welcome to the Jungle,Action,Adventure,Comedy
Amazing Grace,Drama,,
Vice,Action,Adventure,Sci-Fi
Sing,Animation,Comedy,Family
The Wolf of Wall Street,Biography,Crime,Drama
"I, Tonya",Biography,Comedy,Drama
Hostiles,Adventure,Drama,Western
Cirque du Soleil: Worlds Away,Fantasy,,
Playing for Keeps,Comedy,Romance,Sport
The Hobbit: The Battle of the Five Armies,Adventure,Fantasy,
Molly's Game,Biography,Crime,Drama
All the Money in the World,Biography,Crime,Drama
Rogue One: A Star Wars Story,Action,Adventure,Sci-Fi
Ben Is Back,Drama,,
Mr. Six,Action,Drama,
Sing 2,Animation,Comedy,Family
